attack_type,dataset,iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy
fg_random,Cora,59,6.140420436859131,44.18109893798828,506.0,0.7294673323631287,885558.5625,0.798,0.263
fg_random,Cora,60,6.292912483215332,44.83246994018555,524.0,0.7421530485153198,876442.9375,0.797,0.262
fg_random,Cora,61,6.400681972503662,46.43400955200195,528.0,0.7453755736351013,878768.25,0.797,0.262
fg_random,Cora,62,6.506663799285889,48.062965393066406,532.0,0.7486210465431213,881554.0,0.797,0.262
fg_random,Cora,63,6.489407062530518,47.67153549194336,534.0,0.7499385476112366,887332.0625,0.797,0.262
fg_random,Cora,64,6.489407062530518,47.67153549194336,534.0,0.7499385476112366,887332.0625,0.797,0.262
fg_random,Cora,65,6.536346912384033,47.36891555786133,546.0,0.7576914429664612,906773.375,0.797,0.262
fg_random,Cora,66,6.550127983093262,47.37730407714844,552.0,0.7616909146308899,907787.25,0.797,0.261
fg_random,Cora,67,6.693043231964111,47.579795837402344,572.0,0.7748910188674927,912923.875,0.797,0.261
fg_random,Cora,68,6.793645858764648,47.693450927734375,586.0,0.7839651703834534,917487.25,0.797,0.261
fg_random,Cora,69,6.793645858764648,47.693450927734375,586.0,0.7839651703834534,917487.25,0.797,0.261
fg_random,Cora,70,6.793645858764648,47.693450927734375,586.0,0.7839651703834534,917487.25,0.797,0.261
fg_random,Cora,71,6.7799506187438965,47.5742301940918,588.0,0.7852057218551636,921399.1875,0.797,0.261
fg_random,Cora,72,6.829939365386963,47.755271911621094,592.0,0.7878742814064026,950703.4375,0.797,0.261
fg_random,Cora,73,6.915733814239502,49.36741256713867,600.0,0.793513298034668,951002.375,0.797,0.261
fg_random,Cora,74,7.046147346496582,51.107418060302734,608.0,0.7991175651550293,968843.25,0.796,0.26
fg_random,Cora,75,7.151315689086914,52.81893539428711,612.0,0.802155077457428,976142.8125,0.796,0.26
fg_random,Cora,76,7.276695728302002,54.57244873046875,620.0,0.8076965808868408,1011096.4375,0.796,0.26
fg_random,Cora,77,7.489091396331787,56.511505126953125,636.0,0.8182637095451355,1020076.0,0.793,0.259
fg_random,Cora,78,7.489091396331787,56.511505126953125,636.0,0.8182637095451355,1020076.0,0.793,0.259
fg_random,Cora,79,7.85180139541626,57.34864807128906,672.0,0.8405837416648865,1039566.375,0.793,0.259
fg_random,Cora,80,7.839664459228516,57.23274230957031,674.0,0.8417408466339111,1047361.625,0.793,0.258
fg_random,Cora,81,7.9958696365356445,57.45354080200195,696.0,0.8548300266265869,1058328.5,0.793,0.258
fg_random,Cora,82,8.100669860839844,57.58253860473633,710.0,0.8631599545478821,1075332.75,0.792,0.258
fg_random,Cora,83,8.100669860839844,57.58253860473633,710.0,0.8631599545478821,1075332.75,0.792,0.258
fg_random,Cora,84,8.100669860839844,57.58253860473633,710.0,0.8631599545478821,1075332.75,0.792,0.258
fg_random,Cora,85,8.581210136413574,59.132545471191406,750.0,0.8868454694747925,1092869.5,0.792,0.258
fg_random,Cora,86,8.71773624420166,60.857887268066406,758.0,0.8919227123260498,1100663.75,0.792,0.258
fg_random,Cora,87,8.933046340942383,60.581878662109375,784.0,0.906806230545044,1110209.75,0.791,0.257
fg_random,Cora,88,9.08804702758789,60.84114074707031,804.0,0.9179453253746033,1143181.5,0.791,0.257
fg_random,Cora,89,9.08804702758789,60.84114074707031,804.0,0.9179453253746033,1143181.5,0.791,0.257
fg_random,Cora,90,9.225461959838867,60.6552734375,822.0,0.9280915856361389,1150326.125,0.791,0.255
fg_random,Cora,91,9.277138710021973,61.10215377807617,826.0,0.9304452538490295,1151494.25,0.791,0.255
fg_random,Cora,92,9.335702896118164,61.77666473388672,830.0,0.9328179955482483,1153907.75,0.791,0.255
fg_random,Cora,93,9.358635902404785,61.82008361816406,834.0,0.9349875450134277,1161472.0,0.791,0.255
fg_random,Cora,94,9.76413631439209,64.83204650878906,862.0,0.949334442615509,1176370.0,0.791,0.255
fg_random,Cora,95,9.76413631439209,64.83204650878906,862.0,0.949334442615509,1176370.0,0.791,0.255
fg_random,Cora,96,9.851828575134277,66.43405151367188,866.0,0.9519124627113342,1183133.5,0.791,0.255
fg_random,Cora,97,10.130756378173828,67.59705352783203,894.0,0.9669740200042725,1193484.0,0.791,0.254
fg_random,Cora,98,10.130756378173828,67.59705352783203,894.0,0.9669740200042725,1193484.0,0.791,0.254
fg_random,Cora,99,10.129290580749512,67.59417724609375,896.0,0.968011736869812,1203666.25,0.791,0.254
fg_random,Cora,100,10.130569458007812,67.40166473388672,902.0,0.9711825847625732,1223376.375,0.791,0.254
fg_random,Cora,101,10.40735149383545,68.9607925415039,926.0,0.9840889573097229,1234241.5,0.791,0.254
